Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79561232.htm,5.0,"Aug 28, 2023",Investment Solutions Representative,"Former Employee, more than 1 year","Salt Lake City, UT",Pros,I was treated like a human rather than an employee,Cons,"Tough to pass certification class, very stressful",1
Great Company to work for,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79852990.htm,5.0,"Sep 7, 2023",Director,"Current Employee, more than 10 years","Merrimack, NH",Pros,"awesome benefits, Great working environments",Cons,Nothing cons about this company,
Great company. Exhausting role. Make sure you have a plan!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74331481.htm,5.0,"Mar 8, 2023",Customer Service Representative (CSR),"Former Employee, more than 1 year",,Pros,Benefits PTO Variety in schedules Work-life balance Overtime is suggested but never mandatory Help desk to support during calls Training Onboarding Coworkers Advancement (to specialized phone roles),Cons,Unreasonable clients Repetitiveness Mental health can be at risk from an onslaught of mildly/moderately belligerent clients. Customer survey will affect bonus (Clients will score low for an error that is entirely outside of your control) Off-phone roles are minimal and highly sought after Senior management doesn't regularly interact with associate-level outside onboarding.,2
Great Experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78968567.htm,5.0,"Aug 8, 2023",Plan Consultant,"Current Employee, more than 1 year","Westlake, TX",Pros,Fidelity is the best company that I have ever worked for. Managers truly care about the well being of employees all the way from Abby to my direct manager. The pay is above average and benefit package unmatched.,Cons,"None, Fidelity is a great place to work.",
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79373562.htm,5.0,"Aug 22, 2023",Financial Services Representative,"Current Employee, more than 1 year","Dallas, TX",Pros,-Good management with great ways to make you grow -Always learning and advancing personal goals -Will work with you to move forward and advance your career,Cons,-None that I can think of,
Great company going down the wrong payh,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79168330.htm,3.0,"Aug 15, 2023",Senior Scrum Master,Current Employee,"Durham, NC",Pros,Great people Great pay Great work life balance,Cons,"Senior leadership is nothing but legacy-thinking. Return to office is causing massive pain to employees, and the only reason is control",
A lot to be desired...,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79135074.htm,3.0,"Aug 14, 2023",Brokerage Operations Representative,Former Employee,,Pros,Great work environment with a lot of amenities.,Cons,Had 5 different managers within 1 year. Management acts only in the interest of the higher ups and doesn't care about their employee's as people.,1
Diversity & Inclusion is disenfranchising many,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77657043.htm,3.0,"Jun 23, 2023",Personal Investing,"Current Employee, more than 3 years","Salt Lake City, UT",Pros,"Fidelity is a great company for many to start their careers and know the training will be unmatched. The benefits are generous despite the 5 year vesting schedule for the 401k. PTO is 23 days plus paid Federal Holidays for anyone under 5 years more for longer tenure. Many of the perks are geared toward a younger workforce so if you have student loans and want to continue your education, you will be served well by Fidelity's benefits.",Cons,Entry level jobs are not a livable wage given the skyrocketing costs of housing and food in the Salt Lake area. It takes many grade levels of promotion to make much more than entry level pay. Luckily the benefits help make up for some of that but some people just need to be able to pay rent and eat as a priority to being fully vested after 5 years of service. Fidelity is growing at a very rapid pace and with all the diversity and inclusion initiatives it's leaving some groups without certain rights. There are no longer safe spaces for women to be able to deal with bodily functions in safety and privacy. The culture is so inclusive and refreshing but over the top which has also created a level of toxicity where some do not dare advocate for themselves without fear of backlash. Hearing the whispers of dissatisfaction over some of this makes for a fairly stressful environment and might be sewing deep seated seeds of division. There has to be a way to dance the diversity and inclusion dance without excluding wide swaths of the population.,1
Amazing company!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79709415.htm,5.0,"Sep 2, 2023",Scrum Master,"Current Employee, more than 3 years","Salt Lake City, UT",Pros,"Technology, compensation, hybrid environment, camaraderie from colleagues",Cons,I can't think of anything,
Love working here,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79219105.htm,5.0,"Aug 16, 2023",Investment Consultant,"Current Employee, more than 3 years","Denver, CO",Pros,"Good pay, good management, good benefits, they seem to care about you, competitive but encouraging environment, good work life balance",Cons,Not every meeting or training is necessary but it’s not too bad,
