Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
A different model,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66320558.htm,2.0,"Jul 5, 2022",Investment Consultant,"Former Employee, more than 1 year",,Pros,"Name recognition, leads are provided",Cons,Call center mentality. Your main investment vehicle is a managed account for everyone. Not true financial planning.,
Cool if you can get licensed,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70288215.htm,3.0,"Oct 19, 2022",Customer Relationship Advocate,"Former Employee, less than 1 year","Durham, NC",Pros,Good benefits Free lunch Great 401k match Good culture Get sponsored for licenses Get to leave right at 5pm,Cons,Micro managed Call center bs Bathroom breaks monitored No job offered if you fail licensing Too many manager changes,1
"Great company, avg pay",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69593292.htm,4.0,"Sep 29, 2022",Anonymous Employee,"Former Employee, more than 3 years","Durham, NC",Pros,fidelity is a great place to work at and grow on your career,Cons,"the pay is challenging, hope they can get better at this",
good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71552024.htm,5.0,"Dec 1, 2022",Senior CRA,Former Employee,,Pros,"good company, good salary, good coworkers",Cons,"bad management, merrimack commute, see you as a number",
"Fidelity is a great company, held back by horrible management and insane customers.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66251523.htm,2.0,"Jul 3, 2022",Customer Service Associate,"Current Employee, more than 1 year","Westlake, TX",Pros,- Decent pay - Good benefits - Excellent training - Flexible 30-minute break - Ability to move between departments after 1 year (if you can make it that long),Cons,"- You will be shifted between management without notice (sometimes you will be shifted without your manager even knowing!) - You will have about 1 or 2 seconds between each call to somehow gain your bearing. Pro tip: you won't! - Every person who calls Fidelity is miserable and horribly uninformed about everything. This part isn't Fidelity's fault, though it doesn't help that the NetBenefits website is horrible to navigate.",4
Best Service Desk I could ever work for.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70485033.htm,5.0,"Oct 25, 2022",IT Support Technician,"Current Employee, more than 1 year",,Pros,The amount of work is reasonable for a call center position. Management cares about their technicians. Compensation is fair.,Cons,Advancement in the company is slow for Service Desk technicians.,
Good company!!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70941819.htm,4.0,"Nov 9, 2022",Planning Consultant,"Current Employee, less than 1 year","Charlotte, NC",Pros,Great benefits lots of support in role,Cons,They are strict on time line for working in roles before you can get promoted regardless of performance and experience,
Excellent benefits and culture,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70944736.htm,5.0,"Nov 9, 2022",Director,"Current Employee, more than 10 years","Covington, KY",Pros,"My employer invests in me and my development, and they take great care to consider the health, safety, and well being of their employees and customers",Cons,It is a competitive environment,
Poor HR process,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69854630.htm,3.0,"Oct 6, 2022",Anonymous Employee,"Current Employee, more than 1 year",,Pros,"Great people on the organization, great bosses, great culture. Advancement opportunities exist.",Cons,"Background verification process from HR is ridiculous. HR expects you to do their work for them. Entire process with ""Talent Source"" was a poor experience; salary was one thing on the phone, another from the hiring manager. Organization cannot source great talent either.",
AFA,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71580915.htm,4.0,"Dec 2, 2022",Associate Financial Analyst,"Current Employee, more than 1 year","Boston, MA",Pros,Good company Exit opps benefits culture,Cons,repetitive work career progression (poss) big analyst class,
