Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Only dedicated need apply,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW52828971.htm,4.0,"Sep 20, 2021",Customer Relationship Advocate,"Current Employee, less than 1 year","Jacksonville, FL",Pros,"If you’ve got what it takes, this can be a great career. Beware, this is not meant to be a job that you only do for a year or less. Choose this job if you’re ready to commit to a career that is going to be very long-term, or even lifelong. The amount of effort, and commitment that you will need to put in during your extended training is the kind of commitment that will have you rearranging vital portions of your life if you wish to be successful. They will warn you ahead of time. He does warnings. They’re being serious. If, however, you can make it through all of this you’re going to have gainful employment at an excellent rate of compensation for the rest of your life. There are also a few employers who treat their people as well as Fidelity.",Cons,"The work can be incredibly difficult, and even mindnumbing. The extended training is grueling to say the least. While the support is there from Everyone around you, what the average person will need to give up for several months will be substantial. You will lose friends, you will upset your family, and you will likely encourage great amount of stress during this time. Licensing is very difficult time.",9
"Some benefits, but that's it",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70361423.htm,2.0,"Oct 20, 2022",Software Engineer,Current Employee,,Pros,Work stability Good work-life balance Decent benefits,Cons,Little to no growth opportunities Very poor base compensation Old tech stack (depends on Busines Unit) Very little recognition,1
"Great company to work for, hard to move up",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69644003.htm,5.0,"Sep 30, 2022",Pension Specialist,"Former Employee, more than 8 years","Durham, NC",Pros,"Great benefits (health insurance, 401k were both great), and friendly co-workers and management. Great training program, which allowed for learning on the job.",Cons,"Upward mobility was very competitive, so it was difficult to move up in the company. Lateral movement more likely. Too many meetings.",1
Challenging and Rewarding,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69645841.htm,5.0,"Sep 30, 2022",Financial Planning Consultant,Current Employee,,Pros,I love working for Fidelity. They are generous and encouraging when it comes to working toward promotions or role changes. The perks are phenomenal.,Cons,"More often than not, there are new ""asks"" to incorporate into your regimen. It gets to the point where your capacity to do your job efficiently suffers.",1
Great company.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70614725.htm,4.0,"Oct 29, 2022",Financial Representative,Former Employee,,Pros,Great benefits. Nice office. Perks for working OT. First manager was amazing.,Cons,Mandatory OT altered my work life balance too much for my liking. As well as a change in direct manager during that time that altered the team dynamic.,
Good Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71640964.htm,5.0,"Dec 5, 2022",Customer Service Representative (CSR),"Current Employee, more than 3 years","Raleigh, NC",Pros,Strength of company brand reputation.,Cons,Annual pay increases are hit or miss.,
"Great Culture, Fantastic benefits",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69427463.htm,5.0,"Sep 25, 2022",Investment Solutions Representative,"Current Employee, less than 1 year",,Pros,"7% match for 401k, 6 weeks of paternity leave, generous tax- season bonuses, employees are encouraged to think about career advancement early and often.",Cons,"Only con is that, even if you work remote, you typically have to live near a Fidelity office. Not always the case, though.",2
LIES Served Hot with a SHINY Benefit’s Package and Micromanagement to top it off.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW62818875.htm,1.0,"Apr 15, 2022",Anonymous Employee,"Former Employee, less than 1 year","Westlake, TX",Pros,-Great benefit package. -Hardware provided to work from home was nicer than other firms i’ve been at.,Cons,"“Leadership” as they jokingly call themselves here are INEXPERIENCED AND EMOTIONALLY DEAD. 
- You’re not a human here, just a biological answering machine. 
- NOBODY REALLY KNOWS WHAT THEY SHOULD BE DOING TO ONBOARD REMOTELY!! DISASTER FOR NEW HIRES.
- Culture is preached at you starting day one of inclusion, patience, and acceptance. When it is the exact opposite! Being a member of the LGBT community I personally felt uncomfortable and possibly even looked down upon by my manager. ( SHE WAS THE WORST!)
- Save your time and sanity and just go with CharlesSchwab. They will actually pay you for your talent instead of exploiting you and shoving you into a mass onboarding class of young inexperienced 22 y/o’s straight out of college.",11
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70783361.htm,5.0,"Nov 4, 2022",Scrum Master,"Current Employee, more than 3 years","Westlake, TX",Pros,Internal mobility opportunities. Leadership support. Competitive compensation.,Cons,Cons are hard to come by at Fidelity. Total compensation is weighted heavily towards annual bonuses making your base pay less than other similar companies.,
PS (remote),https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70720660.htm,5.0,"Nov 2, 2022",Portfolio Specialist,"Current Employee, more than 1 year","Phoenix, AZ",Pros,Good work/life balance. Great client interaction experience.,Cons,Constant change of clientele. They advertise this as a relationship building role but you will likely get brand new clients every couple of months for no good reaso.,
Call center nightmare,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67904277.htm,1.0,"Aug 14, 2022",Trader,"Current Employee, more than 1 year",,Pros,Work from home. Will get you licensed.,Cons,"-Call center sweat shop -0 chance of upward movement. -No chances to get off the phones. -screamed at by nasty clients all day. -Only feedback you ever receive is negative, even with top tier metrics, I believe they do this to keep you from moving up. -They tell you there is opportunity to move up or latterly within the company but it is a lie. They want you as a password changer and punching bag for clients and that is it.",4
Call center job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71582669.htm,3.0,"Dec 3, 2022",High Net Worth Service Associate,Current Employee,,Pros,"Nice health insurance plan ,",Cons,Call center mean people over and over .,
Stable benefits but some draw backs,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW58194921.htm,3.0,"Jan 19, 2022",Anonymous Employee,"Current Employee, more than 10 years","Cincinnati, OH",Pros,"Their benefits are better than other companies with a 7% 401k match, up to 5 weeks paid vacation, and they throw perks like an extra week every 5th anniversary.",Cons,"-They don't really hire women for high paying sales and financial planning. A woman can be CFP and they'll find other ""salesy"" roles where she is the face but they pretty much only hire men for all the high paying positions which are sales and upper management (except the owner, Abby). Women can get in on mid-and lower-management. They'll get support roles, help desk, etc.

-They offer stability and comfort. You work there for a long time bc they provide great insurance for the family and paid time off along with 401k benefits. Its not for the money.",1
"Sexual Harassment from Coworkers, company doesn't care. BURNOUT ON 11",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW65997617.htm,1.0,"Jun 26, 2022",Financial Representative,"Current Employee, more than 1 year","Los Angeles, CA",Pros,401k match. Decent earning potential compared to many other industries. Ability to get securities licenses.,Cons,"Hyper white, male atmosphere. Everyone's scared out of their mind - managers included - to fall below outrageous expectations that aren't rooted in anything besides increasing every possible metric/outcome in every category. More appointments, more notes in salesforce, more reports to run, etc etc etc. Absolutely no dignity in the work.",11
Depends on the role,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW50044955.htm,3.0,"Jul 20, 2021",Workplace Planning Consultant II,"Former Employee, more than 1 year","Salt Lake City, UT",Pros,"Benefits are really good. 401k match, profit sharing, health benefits. All great. Pretty generous PTO, especially after you have been there a while. The base pay is okay.",Cons,"Fidelity can be great. It depends on two things: what department/role you are in, and your manager. My major complaint about WPC is that people who play the game and burn through calls get promoted and those who spend time with clients don’t. You are not encouraged to spend time and plan with a client. You are supposed to get your tool clicks, uncover assets and send a referral to a branch. It has developed a culture of work 12 hour days to get your numbers, or cut corners. 


Also, they required mandatory overtime on Monday’s and Friday’s for over 6 months. Demanding total flexibility from all reps and continually asking for more, more, more. But good luck using your PTO. Some managers will act like you are stealing PTO hours from their own bank when you ask. The “COVID relief days” they offered were total BS as well. Their policy stated you could use it for anything that required “flexibility” during the pandemic. However, most managers would only let you take it if you were sick COVID.",12
decent,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70981612.htm,3.0,"Nov 10, 2022",High Net Worth Associate,"Current Employee, more than 1 year","Westlake, TX",Pros,"good benefits for dental, vision, and health, great culture",Cons,"call center, hard to get out of the role and into another",1
A  401k maven cognizant of financial services & domestic & international investments .,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW65482727.htm,5.0,"Jun 13, 2022",401k Administrator,"Former Employee, more than 10 years","Westlake, TX",Pros,"Reasons to work there; the culture, environment and your peers, welcome you right at home. A very structured and organized work atmosphere with the ability to work w/o being highly monitored. You work but the experience, skills and knowledge you leave with is a very small price to pay compared to the acumen you will attain. An awesome place to learn financial services, 401k retirement plans, IRAs, Investments and all that entails.",Cons,Takes some time to move around to other positions or departments taking time to practices other fields.,2
"Great Culture, Very Stable",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70548892.htm,5.0,"Oct 27, 2022",Senior Business Analyst,"Current Employee, more than 3 years",,Pros,"- Work life balance is great - Salary is not most competitive, but the benefits are really great and get better as you stay longer - Culture is great",Cons,- Salary is not most competitive,
It’s ok,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70350711.htm,3.0,"Oct 20, 2022",Associate Data Engineer,"Current Employee, more than 3 years","Raleigh, NC",Pros,"Great manager and team Excellent benefits - PTO, Health, Dental, Retirement Leap Program",Cons,"Low salary 100% Remote is not available Many accent foreign workers (communication barriers) Cost of living is too high in Raleigh, NC Difficult for promotion",
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70697255.htm,5.0,"Nov 1, 2022",Customer Relationship Advocate,"Current Employee, less than 1 year","Merrimack, NH",Pros,I currently work for this company and the WFH option is excellent.,Cons,Pay could be better for the role.,
More Service than Sales,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67260418.htm,4.0,"Jul 28, 2022",Workplace Planning Consultant III,"Current Employee, more than 1 year","Westlake, TX",Pros,gain experience with prospecting clients and talking with many different clients at different stages in their financial plan.,Cons,"will spend most of the time submitting rollovers or researching client's service request. once you get to a certain point within the department, coaching stops and your skills kind of idle without any progression.",
Invested in Employees,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69707190.htm,5.0,"Oct 3, 2022",Managing Director,"Current Employee, more than 1 year","Raleigh, NC",Pros,Lots of focus on personal and professional growth Plenty of career mobility opportunities Hires from within the company Retirement benefits are great Leadership is constantly looking for feedback on how to improve,Cons,Can be slow to respond to market trends Pay tends to be slightly under industry average,1
"Strong culture, innovative mindset",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69402608.htm,4.0,"Sep 24, 2022",Digital Product Owner,Current Employee,,Pros,"Fidelity is a great company with a strong culture. You get what you put in and if you want to develop your skills and advance in your career, this is a place you can do it",Cons,Complicated organizational structure and silos (though getting better),
Good company - okay compensation,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71073038.htm,4.0,"Nov 14, 2022",Customer Relationship Advocate,"Former Employee, less than 1 year","Salt Lake City, UT",Pros,"Offered good time off, benefits, and training.",Cons,Was not great compensation or ability to increase compensation.,
Good entry level job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70203731.htm,5.0,"Oct 16, 2022",Customer Service Representative,"Former Employee, less than 1 year","Covington, KY",Pros,Licensing process is very good. Diverse staff so you can always find someone you relate to.,Cons,It is a big commitment. Managers are not always the best.,
Call Center w/ Lack of Promotion outside of that,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW65898991.htm,2.0,"Jun 23, 2022",Customer Relationship Advocate,Former Employee,,Pros,"Pros: 

-All of the managers/ colleagues are generally very nice 
- Work doesn’t come home w/ you 
- Several bonus incentive opportunities
- 4-day work week option 
-Tuition Reimbursement/ Student Loan Repayment
- Gym membership Reimbursement
- Constant Overtime Availability 
-Good resume builder
-Sponsored to get FINRA Licenses
-Work from home",Cons,"CRA ROLE: I graduated with a Bachelor’s in finance last year (degree not required for role) and I took this job b/c they advertised being able to become a licensed financial professional with FINRA. My professor indirectly tried to steer me away from it but I was naive. I sat in on a seminar and was really impressed with how happy everyone seemed. I thought getting my foot in the door I would be able to easily navigate and move on to a more technical skilled role. Boy was I wrong… The CRA role is the lowest of the totem pole you can be on. They try to make you feel like you’re not working in a call center because of licensing and the culture but you really are. You take inbound customer service calls. You get trained and have to assist with a magnitude of differing requests such as the status of paper work or educating/placing trades for clients in margin. It felt like I was getting paid so little to know SO MUCH. You are also expected to work chat function several times a week and manage multiple chat conversations at once. 

The busiest times are Tax Season and the end of the year for RMDs. Summer is the slowest— you most often stare at the screen all day with maybe 5-6 calls your whole 8 hour shift. 

PERFORMANCE/ PROMOTION: You are graded on the criteria of the call model & grading is inconsistent. Additionally, the anxiety you feel when you get calls and don’t know what to expect is difficult. A lot of the clients are older and can be rude when they don’t get their way. You have to help them navigate the website which sometimes can take up to an hour. Clients receive follow-up surveys in 24-48 hours after interaction and if you get a 6 or lower it counts as a 0 towards that metric. A lot of clients are unhappy when they don’t know what they are doing and you get the blame for it instead of allowing you to support and expand their knowledge. Weekends are also tough working b/c a lot of supporting business units are closed on the weekends which results in disgruntled customers and call backs (also, a metric your performance gets graded on)
Fidelity allows auto-promotion when you reach certain call review scores and call metrics. They are just other call center roles with a $1,000-$2,000 yearly salary pay increase. After tax is an extra $50-80 dollars per month. Do not be fooled do the math. 
 
TRAINING/ SUPPORT: You will go through a total of 8 months of training. A lot of information to know. Difficult to retain as you will not be practicing skills daily. If you have a question about a procedure or process managers tell you to contact the Help Desk. Crazy b/c you depend on them to measure and assess your performance but they don’t know the job role specifics. 

Overall, this job left me feeling hopeless and unmotivated. I feel like they should be more transparent with what the job function really is. It is not just about becoming licensed and being a financial professional b/c the clients don’t see you as that, they see you as a customer service representative punching bag. Call center work is not for a lot of people, really think about if this is the type of role you see yourself in permanently.",5
Amazing so far!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68492218.htm,5.0,"Aug 29, 2022",Anonymous Employee,"Current Employee, less than 1 year",,Pros,"Lots of great people, freedom to manage your own time, great benefits, beautiful office spaces and hybrid work environment",Cons,I’ve been there less than a year so I have not encountered any challenges about the job specifically but the licensing process is pretty tough. Must have resilience!,
Good pay less fun,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71283677.htm,4.0,"Nov 21, 2022",Financial Representative,"Former Employee, more than 1 year","Boston, MA",Pros,Fidelity pays well and offers great benefits.,Cons,Micromanagement to the fullest! Bureaucratic structure.,
Call Center Grind with Decent Bonuses,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69341764.htm,4.0,"Sep 22, 2022",Active Trader Services,"Former Employee, less than 1 year",,Pros,Private company Clients seem to like the company Quarterly bonuses Decent Pay,Cons,"Real lack of diversity Hard to obtain position not in call center role if you're already in a call center role Expected to stick to their script when speaking to clients, can be robotic.",
"Underpaid, overworked, under appreciated",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW64703451.htm,3.0,"May 26, 2022",Internal Audit Analyst,"Former Employee, more than 3 years","Westlake, TX",Pros,"This is probably one of the most thankless roles you will do anywhere, so keep that in mind. 

401k match, Average pay, many benefits for parents, ability to move around within the company after a few years.",Cons,"Average pay. Average bonus. Very dumb hierarchal structure - incredibly unclear how people move up in their roles / department. This is also an INCREDIBLY *woke* company. If you don’t share mainstream views, you better be quiet.",2
best workspace,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70829958.htm,5.0,"Nov 6, 2022",Financial Analyst,"Current Employee, more than 1 year",,Pros,good environment good people nice perks,Cons,salary is very low compared to other same positions,
Simple job at a competent company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67660326.htm,5.0,"Aug 8, 2022",Electronic Channel Support Specialist,"Current Employee, less than 1 year","Westlake, TX",Pros,"Straightforward job that usually allows for a decent amount of downtime. I usually read between calls or, if I’m working from home, do some light housework.",Cons,"Occasionally required to work on-site, but the campus is pretty nice, so it’s not too bad if you don’t live too far away. Also, while the Fidelity Essentials training is very good, they haven’t yet cracked the training for the ECS position itself.",1
Good Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69127029.htm,5.0,"Sep 16, 2022",Help Desk,"Current Employee, more than 1 year","Greenwood Village, CO",Pros,Fidelity really cares about employees and their families. I do not believe I could have chose a better company to start my financial services career.,Cons,"Paid time off can be difficult to schedule because it is a phone center. Although, you can work with your manager to schedule important events. There is a lot PTO.",
Great entry level job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70980613.htm,5.0,"Nov 10, 2022",Senior Representative,Current Employee,"Providence, RI",Pros,Work from home & great benefits,Cons,Little to no interaction with colleagues,
